Time (s)	Real (E)	Complex (E)
-1.589144149311109e-11	3.3973444474112474e-13	2.9878523959323795e-13
-1.58744452989951e-11	-1.0553376829509311e-13	4.61919381735171e-13
-1.5857449104879113e-11	-3.5310316338181895e-13	6.404456463183136e-13
-1.5840452910763126e-11	3.6093105090564923e-13	-1.0021321439912605e-13
-1.5823456716647138e-11	6.870849097616622e-13	-1.6536600152357313e-13
-1.580646052253115e-11	-4.036989060482197e-13	3.3192424695059644e-13
-1.5789464328415162e-11	-3.0858443151873274e-13	-2.729467262678807e-13
-1.5772468134299174e-11	1.5626169756913593e-13	-4.2017460160194334e-13
-1.5755471940183186e-11	1.2242109783871156e-13	1.632660539267997e-13
-1.5738475746067198e-11	3.9320190248274976e-13	3.2171769166425116e-13
-1.572147955195121e-11	-9.666529629342078e-14	6.06508910959661e-13
-1.5704483357835222e-11	-3.09549682773841e-13	6.225774877182856e-13
-1.5687487163719235e-11	4.585255001189005e-13	-4.6386693122625563e-14
-1.5670490969603247e-11	5.472879500797502e-13	-2.2655118870364058e-14
-1.565349477548726e-11	-4.04524935914865e-13	2.551551637618327e-13
-1.563649858137127e-11	-3.0446724816303693e-13	-3.3480690477188034e-13
-1.5619502387255283e-11	1.538070819328364e-13	-4.382113051417003e-13
-1.5602506193139295e-11	1.351291399777274e-13	8.821452726636856e-14
-1.5585509999023307e-11	4.6983341582296e-13	3.5900601517704446e-13
-1.556851380490732e-11	-1.0310443285460111e-13	7.267089785212356e-13
-1.555151761079133e-11	-2.776051541443289e-13	5.674566708264588e-13
-1.5534521416675344e-11	5.201001258745223e-13	5.332901832739467e-14
-1.5517525222559356e-11	4.0315675609682564e-13	9.282315563113274e-14
-1.5500529028443368e-11	-4.0941450418051815e-13	1.280091630389204e-13
-1.548353283432738e-11	-3.122314004980686e-13	-3.552155423085448e-13
-1.5466536640211392e-11	1.1306824617674197e-13	-4.498053009613403e-13
-1.5449540446095404e-11	1.6851132971438336e-13	1.0648921357732983e-14
-1.5432544251979416e-11	5.583926426764416e-13	4.095356440395238e-13
-1.5415548057863428e-11	-1.4519289258536505e-13	8.100771275528808e-13
-1.539855186374744e-11	-2.58241450835092e-13	4.836506983989093e-13
-1.5381555669631452e-11	5.499975736938944e-13	1.7962770392104974e-13
-1.5364559475515465e-11	2.6757525945610277e-13	1.575734714939796e-13
-1.5347563281399477e-11	-4.205426142613019e-13	-1.1765699737127552e-14
-1.533056708728349e-11	-3.232773157514717e-13	-3.259375834365833e-13
-1.53135708931675e-11	3.9867036239085706e-14	-4.623575641322233e-13
-1.5296574699051513e-11	2.451875389306244e-13	-5.826868394287732e-14
-1.5279578504935525e-11	6.334819253718321e-13	4.714951062916474e-13
-1.5262582310819537e-11	-2.3210503955350336e-13	8.437883026814531e-13
-1.524558611670355e-11	-2.4796378430430115e-13	3.81685213324583e-13
-1.522858992258756e-11	5.590362408620382e-13	3.1003842756516166e-13
-1.5211593728471574e-11	1.4514915583472763e-13	1.6029145938050186e-13
-1.5194597534355586e-11	-4.3285519703111387e-13	-1.1727133575678797e-13
-1.5177601340239598e-11	-3.3392744202018885e-13	-2.5498425699867234e-13
-1.516060514612361e-11	-4.706244897506542e-14	-4.855421558958983e-13
-1.5143608952007622e-11	3.7178663453705833e-13	-1.0475935991344448e-13
-1.5126612757891634e-11	6.646109644444049e-13	5.385818245609608e-13
-1.5109616563775646e-11	-3.5924866158671354e-13	8.173703471348121e-13
-1.5092620369659658e-11	-2.3851886624782437e-13	2.735721170985172e-13
-1.507562417554367e-11	5.578937993641208e-13	4.2291559142437344e-13
-1.5058627981427683e-11	3.457268844558234e-14	1.0645806613698498e-13
-1.5041631787311695e-11	-4.377354726740343e-13	-1.4907768971217097e-13
-1.5024635593195707e-11	-3.452534966993445e-13	-1.648467698508948e-13
-1.500763939907972e-11	-1.2101691963310193e-13	-5.23642061584693e-13
-1.499064320496373e-11	5.318654493146272e-13	-1.1648752060698758e-13
-1.4973647010847743e-11	6.282892120801107e-13	5.970671589918607e-13
-1.4956650816731755e-11	-5.102186054162186e-13	7.292683858676398e-13
-1.4939654622615767e-11	-2.1765350191341e-13	1.7145643970026673e-13
-1.492265842849978e-11	5.503385440656711e-13	5.009307023670236e-13
-1.490566223438379e-11	-6.671519863712434e-14	1.779220733403727e-14
-1.4888666040267804e-11	-4.2836321574834997e-13	-9.060697052865719e-14
-1.4871669846151816e-11	-3.5964203845928256e-13	-8.461184159771304e-14
-1.4854673652035828e-11	-1.5707762800293996e-13	-5.695002139246812e-13
-1.483767745791984e-11	6.893900200837998e-13	-8.988025892387698e-14
-1.4820681263803852e-11	5.173976023563731e-13	6.280109528472153e-13
