Time (s)	Real (E)	Complex (E)
-2.7465849686098844e-11	-6.255462560837583e-14	1.3427582949296892e-13
-2.7448853491982856e-11	5.4269644425588855e-14	1.805077655506237e-13
-2.7431857297866868e-11	1.9621799220481384e-13	2.2103709645276302e-13
-2.741486110375088e-11	3.0830417920422755e-13	1.1390529263186376e-13
-2.7397864909634892e-11	3.4153885798888336e-13	-1.5399875655082615e-13
-2.7380868715518904e-11	2.4807693527868996e-13	-4.261940476182143e-13
-2.7363872521402916e-11	6.657760131372159e-14	-5.652416283009908e-13
-2.734687632728693e-11	-5.75998462264728e-14	-4.821618272872478e-13
-2.732988013317094e-11	-5.611991732160208e-14	-1.847000886809389e-13
-2.7312883939054953e-11	4.372103604892327e-15	1.223237704965343e-13
-2.7295887744938965e-11	3.285859239392682e-14	2.639386343096733e-13
-2.7278891550822977e-11	-1.4311293981146557e-14	2.859057187099449e-13
-2.726189535670699e-11	-8.449004853743932e-14	2.6476334082474214e-13
-2.7244899162591e-11	-7.613475534285547e-14	2.429455525073766e-13
-2.7227902968475013e-11	3.25781883436945e-14	2.5876541255675446e-13
-2.7210906774359025e-11	1.8932782953664253e-13	2.5727144993390623e-13
-2.7193910580243037e-11	3.21842618464536e-13	1.2463868462402363e-13
-2.717691438612705e-11	3.616010076757223e-13	-1.3653070730987078e-13
-2.715991819201106e-11	2.5644534289273637e-13	-4.0374201913958804e-13
-2.7142921997895074e-11	4.62117516367903e-14	-5.605518444104353e-13
-2.7125925803779086e-11	-1.0783425395277782e-13	-5.120628263928619e-13
-2.7108929609663098e-11	-1.0726041162728135e-13	-2.5655529412223024e-13
-2.709193341554711e-11	-1.4312755794396153e-14	3.25416691680253e-14
-2.7074937221431122e-11	5.935485149593254e-14	2.113529677636332e-13
-2.7057941027315134e-11	3.936370915585615e-14	3.0601248770148325e-13
-2.7040944833199146e-11	-4.58466181855477e-14	3.388614309023011e-13
-2.702394863908316e-11	-7.759752662380649e-14	3.2313157753845045e-13
-2.700695244496717e-11	4.315926306756667e-15	3.0989702270702487e-13
-2.6989956250851183e-11	1.6103652668859658e-13	2.703992556582396e-13
-2.6972960056735195e-11	3.086015504885997e-13	1.2973900650159884e-13
-2.6955963862619207e-11	3.56687715298898e-13	-9.956960774773438e-14
-2.693896766850322e-11	2.4657731860675903e-13	-3.449517067451714e-13
-2.692197147438723e-11	1.9422274401668404e-14	-5.201101260372286e-13
