Time (s)	Real (E)	Complex (E)
2.9148472914256824e-11	6.464288546191524e-13	-2.2828971192210016e-13
2.916546910837281e-11	6.23522441453475e-13	-9.075735096574664e-13
2.91824653024888e-11	5.470242152667863e-13	-1.1119226436856371e-12
2.919946149660479e-11	3.520319390590979e-13	-4.5222616365801024e-13
2.9216457690720776e-11	7.60282177867949e-14	5.364786785054616e-13
2.9233453884836764e-11	-2.4030240484775526e-13	9.398361032255744e-13
2.925045007895275e-11	-6.616264039940485e-13	6.401032266208744e-13
2.926744627306874e-11	-9.524950717447038e-13	2.703466118007005e-13
2.928444246718473e-11	-7.169627223685647e-13	3.718107733295705e-13
2.9301438661300715e-11	-8.299292341688489e-14	8.136768373476852e-13
2.9318434855416703e-11	4.4770882631683695e-13	1.100053675202688e-12
2.933543104953269e-11	5.734129773764465e-13	9.965579469292266e-13
2.935242724364868e-11	4.655799276587022e-13	5.491141939290579e-13
2.936942343776467e-11	4.270312385054844e-13	-2.0611459606015126e-13
2.9386419631880655e-11	4.810375815398814e-13	-1.038964818978836e-12
2.940341582599664e-11	5.118013406055136e-13	-1.3603817978657792e-12
2.942041202011263e-11	4.554080511753038e-13	-7.835008977602211e-13
2.943740821422862e-11	2.827936608714148e-13	1.3610146327808098e-13
2.9454404408344606e-11	-1.304164901161154e-14	5.135354004638721e-13
2.9471400602460594e-11	-5.057470664017342e-13	2.9890172772054393e-13
2.948839679657658e-11	-9.524154648283219e-13	9.3387866262952e-14
2.950539299069257e-11	-8.952706540148989e-13	3.8563054978823597e-13
2.952238918480856e-11	-4.047000370235173e-13	1.017367309556784e-12
2.9539385378924546e-11	6.478707610475763e-14	1.4292572100513718e-12
2.9556381573040534e-11	2.1861049126994203e-13	1.3331038369642711e-12
2.957337776715652e-11	1.5072840209047144e-13	7.869708508864164e-13
2.959037396127251e-11	1.1984611719819127e-13	-1.0497845741187847e-13
2.96073701553885e-11	2.0207051562194812e-13	-1.0712032587875062e-12
2.9624366349504485e-11	3.2588846430399333e-13	-1.5329325893041517e-12
2.964136254362047e-11	4.222505198911367e-13	-1.102621194079127e-12
2.965835873773646e-11	3.9159060334201737e-13	-2.9722496436285437e-13
2.967535493185245e-11	1.817889878451478e-13	6.469137313659249e-14
2.969235112596844e-11	-2.8467343346525607e-13	-3.652226536401728e-14
2.9709347320084425e-11	-7.839300113353812e-13	-9.094826181773341e-14
2.972634351420041e-11	-8.569744389087714e-13	3.1452945096334634e-13
2.97433397083164e-11	-5.53899449899377e-13	1.048869316736129e-12
2.976033590243239e-11	-2.3296333612576776e-13	1.5574694435205766e-12
2.9777332096548376e-11	-9.648031060763163e-14	1.508464663275531e-12
2.9794328290664364e-11	-1.2054177129574284e-13	9.382838069377971e-13
2.981132448478035e-11	-1.6118912517711217e-13	-7.7675603098794e-15
2.982832067889634e-11	-1.0873970689276198e-13	-1.036916376378954e-12
2.984531687301233e-11	5.306668027459795e-14	-1.6081270849801006e-12
2.9862313067128316e-11	2.6558874662269605e-13	-1.3360201247691666e-12
2.9879309261244304e-11	3.7203619027616093e-13	-6.498880548109751e-13
2.989630545536029e-11	2.8594540129785206e-13	-2.745093278133806e-13
2.991330164947628e-11	-7.23534355765198e-14	-2.347087670785611e-13
2.993029784359227e-11	-5.236009674213088e-13	-1.567838927689993e-13
2.9947294037708255e-11	-6.616265707188963e-13	2.6802439145755154e-13
2.996429023182424e-11	-5.510426104883305e-13	9.731268365771777e-13
2.998128642594023e-11	-4.2662082145211277e-13	1.484773119335068e-12
2.999828262005622e-11	-3.3860831582656105e-13	1.4653441556171946e-12
3.001527881417221e-11	-3.109567442897596e-13	9.148583615612383e-13
3.0032275008288195e-11	-3.5443560032078814e-13	-6.534355750589593e-15
3.004927120240418e-11	-3.6685538889450583e-13	-1.0064003743579716e-12
3.006626739652017e-11	-2.278420664002209e-13	-1.6106318112077112e-12
3.008326359063616e-11	3.306947536331026e-14	-1.4521673048458402e-12
3.0100259784752146e-11	2.3005957281144806e-13	-8.486738860289675e-13
3.0117255978868134e-11	2.694170596473268e-13	-4.1565653970656854e-13
3.013425217298412e-11	7.261476311704102e-14	-2.0846630216772967e-13
3.015124836710011e-11	-2.5289238018063137e-13	-1.1501956202034802e-14
3.01682445612161e-11	-3.9875974026753556e-13	3.5759787521735195e-13
3.0185240755332086e-11	-4.639865657123061e-13	9.097285956011123e-13
3.0202236949448074e-11	-5.479758567372853e-13	1.3083073180376537e-12
3.021923314356406e-11	-5.231718109376349e-13	1.2511083258362981e-12
3.023622933768005e-11	-4.410821245724552e-13	7.1108232189164e-13
3.025322553179604e-11	-4.672871006191521e-13	-1.4647571562355766e-13
3.0270221725912025e-11	-5.430826827701128e-13	-1.0418679341047811e-12
3.028721792002801e-11	-4.593985829551137e-13	-1.5881477645632126e-12
3.0304214114144e-11	-2.118008803486986e-13	-1.4638941034828986e-12
3.032121030825999e-11	8.27740396978139e-15	-8.854993599919001e-13
3.033820650237598e-11	1.3715495865589175e-13	-3.554167180185063e-13
3.0355202696491965e-11	1.164580277514593e-13	3.639376793375842e-14
3.037219889060795e-11	-3.490212722036512e-14	3.5152191193981197e-13
3.038919508472394e-11	-1.4366776324763082e-13	6.333560986459771e-13
3.040619127883993e-11	-3.567460946616846e-13	9.585850774145457e-13
3.0423187472955916e-11	-6.400529542806221e-13	1.1536498265109136e-12
3.0440183667071904e-11	-6.864951778048385e-13	9.784292542226787e-13
3.045717986118789e-11	-5.576750571554401e-13	4.003194015890284e-13
3.047417605530388e-11	-5.466038045883033e-13	-4.002950764241083e-13
3.049117224941987e-11	-6.551321861949107e-13	-1.1574628369140892e-12
3.0508168443535856e-11	-6.191977345632139e-13	-1.5750793332833628e-12
3.0525164637651844e-11	-4.1224488220792943e-13	-1.4034976128273917e-12
3.054216083176783e-11	-2.2961955861097015e-13	-8.009578323584469e-13
3.055915702588382e-11	-7.67232100925915e-14	-1.6649522916590832e-13
3.057615321999981e-11	4.773087137106429e-14	3.9995996202189963e-13
3.0593149414115795e-11	8.794444900592074e-14	8.392335810683766e-13
3.061014560823178e-11	5.840840090493946e-14	1.0520873878050371e-12
3.062714180234777e-11	-2.5815094948246076e-13	1.1442332412406258e-12
3.064413799646376e-11	-7.19056108993053e-13	1.1012553834299199e-12
3.0661134190579747e-11	-8.476653220457475e-13	7.554817559424112e-13
3.0678130384695735e-11	-6.922599560603419e-13	8.742517110913011e-14
3.069512657881172e-11	-6.332016789441014e-13	-6.879408072577078e-13
3.071212277292771e-11	-7.321415673922864e-13	-1.3127019666284418e-12
3.07291189670437e-11	-7.071891772448537e-13	-1.5710944953883904e-12
3.0746115161159686e-11	-5.302978781649035e-13	-1.2957365097029313e-12
3.0763111355275674e-11	-4.2135770073945486e-13	-6.475020656649464e-13
3.078010754939166e-11	-3.2387483157347854e-13	5.1201349411235477e-14
3.079710374350765e-11	-1.2843276107322501e-13	7.381303422644787e-13
3.081409993762364e-11	8.697599849154528e-14	1.295671026749998e-12
3.0831096131739626e-11	1.8114093812365097e-13	1.4916046347369462e-12
3.0848092325855614e-11	-1.6888001003126766e-13	1.4060375660802731e-12
3.08650885199716e-11	-7.665880676124539e-13	1.1518235367974957e-12
3.088208471408759e-11	-9.887312235249565e-13	6.340487615549043e-13
3.089908090820358e-11	-8.364237109077817e-13	-1.4569624071024608e-13
3.0916077102319565e-11	-7.326373000805362e-13	-9.223499759889681e-13
3.093307329643555e-11	-7.850630790003597e-13	-1.4395293955618326e-12
3.095006949055154e-11	-7.246001196907156e-13	-1.5468302638153385e-12
3.096706568466753e-11	-5.453243949024334e-13	-1.1481667960760851e-12
3.0984061878783517e-11	-5.213132603039923e-13	-4.61143707689552e-13
3.1001058072899505e-11	-5.551612913764697e-13	2.2402881011641646e-13
3.101805426701549e-11	-3.910685864108079e-13	9.332859580366837e-13
3.103505046113148e-11	-5.1936778109944456e-14	1.5718548695039111e-12
3.105204665524747e-11	2.0232455434254907e-13	1.8043952082352483e-12
3.1069042849363456e-11	-8.969393169567798e-14	1.6319827476523569e-12
3.1086039043479444e-11	-7.545071201793484e-13	1.2405495842350411e-12
3.110303523759543e-11	-1.0660291412749433e-12	5.994668452055132e-13
3.112003143171142e-11	-9.463177410419028e-13	-2.697839348109649e-13
3.113702762582741e-11	-8.153272005186046e-13	-1.049122250747946e-12
3.1154023819943396e-11	-8.014595514792745e-13	-1.4802451657008672e-12
3.1171020014059383e-11	-6.66184648551444e-13	-1.467534521881171e-12
3.118801620817537e-11	-4.496641096788323e-13	-9.599808812135394e-13
3.120501240229136e-11	-5.050077391441582e-13	-2.5725987099964504e-13
3.122200859640735e-11	-7.265966158006012e-13	3.296296913277668e-13
3.1239004790523335e-11	-6.988367189285273e-13	9.432441266630548e-13
3.125600098463932e-11	-3.161490262100461e-13	1.5905151769316951e-12
3.127299717875531e-11	1.057003545947242e-13	1.8827074369885385e-12
3.12899933728713e-11	-4.124205654027341e-14	1.7137968847472585e-12
3.1306989566987287e-11	-6.791536022648889e-13	1.280990980043026e-12
3.1323985761103275e-11	-1.0442242998208645e-12	5.960169914436617e-13
3.134098195521926e-11	-9.7050927366397e-13	-3.0571869641293e-13
3.135797814933525e-11	-8.382751344117861e-13	-1.0614237511453587e-12
3.137497434345124e-11	-7.619232618364772e-13	-1.4123767790966835e-12
3.1391970537567226e-11	-5.31472126069036e-13	-1.3162077858802732e-12
3.1408966731683214e-11	-2.525268502500987e-13	-7.377632331684716e-13
3.14259629257992e-11	-3.696406580202578e-13	-4.56973945911326e-14
3.144295911991519e-11	-8.011448655899708e-13	3.8422925071334265e-13
3.145995531403118e-11	-9.882707189123427e-13	8.033020931299373e-13
3.1476951508147166e-11	-6.541523519876875e-13	1.3714488191389606e-12
3.1493947702263153e-11	-1.0199607575769998e-13	1.7035094069169864e-12
3.151094389637914e-11	-5.6803700177150225e-14	1.5963458360094324e-12
3.152794009049513e-11	-5.757179780292843e-13	1.2107900742288625e-12
3.154493628461112e-11	-9.27254806421434e-13	5.651750828537431e-13
3.1561932478727105e-11	-8.834652723632551e-13	-3.005713811765451e-13
3.157892867284309e-11	-7.728429420288681e-13	-9.895575102322993e-13
3.159592486695908e-11	-6.61457895767386e-13	-1.2505944252715616e-12
3.161292106107507e-11	-3.415584369358138e-13	-1.103351221124286e-12
3.1629917255191057e-11	1.2081825064889952e-14	-5.060866379593101e-13
3.1646913449307044e-11	-1.353103215867316e-13	1.5054452228908318e-13
